"Abrawayaomys_chebezi" "Abrawayaomys_ruschii" "Abrothrix_andina" "Abrothrix_hershkovitzi" "Abrothrix_illutea" "Abrothrix_jelskii" "Abrothrix_lanosa" "Abrothrix_longipilis" "Abrothrix_olivacea" "Abrothrix_sanborni" "Aegialomys_galapagoensis" "Aegialomys_xanthaeolus" "Aepeomys_lugens" "Aepeomys_reigi" "Akodon_aerosus" "Akodon_affinis" "Akodon_albiventer" "Akodon_azarae" "Akodon_boliviensis" "Akodon_budini" "Akodon_caenosus" "Akodon_cursor" "Akodon_dayi" "Akodon_dolores" "Akodon_fumeus" "Akodon_iniscatus" "Akodon_josemariarguedasi" "Akodon_juninensis" "Akodon_kofordi" "Akodon_lindberghi" "Akodon_lutescens" "Akodon_mimus" "Akodon_mollis" "Akodon_montensis" "Akodon_mystax" "Akodon_orophilus" "Akodon_paranaensis" "Akodon_pervalens" "Akodon_philipmyersi" "Akodon_polopi" "Akodon_reigi" "Akodon_sanctipaulensis" "Akodon_siberiae" "Akodon_simulator" "Akodon_sp" "Akodon_spegazzinii" "Akodon_subfuscus" "Akodon_surdus" "Akodon_sylvanus" "Akodon_toba" "Akodon_torques" "Akodon_varius" "Amphinectomys_savamis" "Andalgalomys_olrogi" "Andalgalomys_pearsoni" "Andalgalomys_roigi" "Andinomys_edax" "Anotomys_leander" "Auliscomys_boliviensis" "Auliscomys_pictus" "Auliscomys_sublimis" "Bibimys_chacoensis" "Bibimys_labiosus" "Bibimys_torresi" "Blarinomys_breviceps" "Brucepattersonius_griserufescens" "Brucepattersonius_guarani" "Brucepattersonius_igniventris" "Brucepattersonius_iheringi" "Brucepattersonius_misionensis" "Brucepattersonius_paradisus" "Brucepattersonius_soricinus" "Calassomys_apicalis" "Calomys_boliviae" "Calomys_callidus" "Calomys_callosus" "Calomys_cerqueirai" "Calomys_expulsus" "Calomys_hummelincki" "Calomys_laucha" "Calomys_lepidus" "Calomys_musculinus" "Calomys_sorellus" "Calomys_tener" "Calomys_tocantinsi" "Calomys_venustus" "Castoria_angustidens" "Cerradomys_goytaca" "Cerradomys_langguthi" "Cerradomys_maracajuensis" "Cerradomys_marinhus" "Cerradomys_scotti" "Cerradomys_subflavus" "Cerradomys_vivoi" "Chelemys_megalonyx" "Chibchanomys_orcesi" "Chibchanomys_trichotis" "Chilomys_fumeus" "Chilomys_instans" "Chinchillula_sahamae" "Delomys_dorsalis" "Delomys_sublineatus" "Deltamys_kempi" "Drymoreomys_albimaculatus" "Eligmodontia_bolsonensis" "Eligmodontia_dunaris" "Eligmodontia_hirtipes" "Eligmodontia_moreni" "Eligmodontia_morgani" "Eligmodontia_puerulus" "Eligmodontia_typus" "Eremoryzomys_polius" "Euneomys_chinchilloides" "Euneomys_fossor" "Euneomys_mordax" "Euneomys_petersoni" "Euryoryzomys_emmonsae" "Euryoryzomys_lamia" "Euryoryzomys_legatus" "Euryoryzomys_macconnelli" "Euryoryzomys_nitidus" "Euryoryzomys_russatus" "Galenomys_garleppi" "Geoxus_valdivianus" "Graomys_chacoensis" "Graomys_domorum" "Graomys_edithae" "Graomys_griseoflavus" "Gyldenstolpia_fronto" "Gyldenstolpia_planaltensis" "Handleyomys_alfaroi" "Handleyomys_fuscatus" "Handleyomys_intectus" "Holochilus_brasiliensis" "Holochilus_chacarius" "Holochilus_lagigliai" "Holochilus_sciureus" "Holochilus_venezuelae" "Holochilus_vulpinus" "Hylaeamys_acritus" "Hylaeamys_laticeps" "Hylaeamys_megacephalus" "Hylaeamys_oniscus" "Hylaeamys_perenensis" "Hylaeamys_tatei" "Hylaeamys_yunganus" "Ichthyomys_hydrobates" "Ichthyomys_pittieri" "Ichthyomys_stolzmanni" "Ichthyomys_tweedii" "Irenomys_tarsalis" "Juliomys_ossitenuis" "Juliomys_pictipes" "Juliomys_rimofrons" "Juscelinomys_candango" "Juscelinomys_huanchacae" "Kunsia_tomentosus" "Lenoxus_apicalis" "Loxodontomys_micropus" "Lundomys_molitor" "Melanomys_caliginosus" "Melanomys_columbianus" "Melanomys_robustulus" "Melanomys_zunigae" "Microakodontomys_transitorius" "Microryzomys_altissimus" "Microryzomys_minutus" "Mindomys_hammondi" "Neacomys_dubosti" "Neacomys_guianae" "Neacomys_minutus" "Neacomys_musseri" "Neacomys_paracou" "Neacomys_spinosus" "Neacomys_tenuipes" "Necromys_amoenus" "Necromys_lactens" "Necromys_lasiurus" "Necromys_lenguarum" "Necromys_obscurus" "Necromys_punctulatus" "Necromys_urichi" "Nectomys_apicalis" "Nectomys_grandis" "Nectomys_palmipes" "Nectomys_rattus" "Nectomys_squamipes" "Neomicroxus_bogotensis" "Neomicroxus_latebricola" "Neotomys_ebriosus" "Nephelomys_albigularis" "Nephelomys_auriventer" "Nephelomys_caracolus" "Nephelomys_childi" "Nephelomys_keaysi" "Nephelomys_levipes" "Nephelomys_maculiventer" "Nephelomys_meridensis" "Nephelomys_moerex" "Nephelomys_nimbosus" "Nephelomys_pectoralis" "Nesoryzomys_darwini" "Nesoryzomys_fernandinae" "Nesoryzomys_indefessus" "Nesoryzomys_narboroughi" "Nesoryzomys_swarthi" "Neusticomys_ferreirai" "Neusticomys_monticolus" "Neusticomys_mussoi" "Neusticomys_oyapocki" "Neusticomys_peruviensis" "Neusticomys_venezuelae" "Notiomys_edwardsii" "Oecomys_auyantepui" "Oecomys_bicolor" "Oecomys_catherinae" "Oecomys_cleberi" "Oecomys_concolor" "Oecomys_flavicans" "Oecomys_mamorae" "Oecomys_paricola" "Oecomys_phaeotis" "Oecomys_rex" "Oecomys_roberti" "Oecomys_rutilus" "Oecomys_speciosus" "Oecomys_superans" "Oecomys_syndandersoni" "Oecomys_trinitatis" "Oligoryzomys_andinus" "Oligoryzomys_arenalis" "Oligoryzomys_brendae" "Oligoryzomys_chacoensis" "Oligoryzomys_delicatus" "Oligoryzomys_destructor" "Oligoryzomys_flavescens" "Oligoryzomys_fornesi" "Oligoryzomys_griseolus" "Oligoryzomys_longicaudatus" "Oligoryzomys_magellanicus" "Oligoryzomys_mattogrossae" "Oligoryzomys_messorius" "Oligoryzomys_microtis" "Oligoryzomys_moojeni" "Oligoryzomys_nigripes" "Oligoryzomys_rupestris" "Oligoryzomys_stramineus" "Oligoryzomys_utiaritensis" "Oreoryzomys_balneator" "Oryzomys_couesi" "Oryzomys_gorgasi" "Oxymycterus_amazonicus" "Oxymycterus_caparaoe" "Oxymycterus_dasytrichus" "Oxymycterus_delator" "Oxymycterus_hiska" "Oxymycterus_hucucha" "Oxymycterus_inca" "Oxymycterus_josei" "Oxymycterus_juliacae" "Oxymycterus_nasutus" "Oxymycterus_nigrifons" "Oxymycterus_paramensis" "Oxymycterus_quaestor" "Oxymycterus_rufus" "Oxymycterus_wayku" "Paynomys_macronyx" "Pearsonomys_annectens" "Phaenomys_ferrugineus" "Phyllotis_alisosiensis" "Phyllotis_amicus" "Phyllotis_andium" "Phyllotis_anitae" "Phyllotis_bonariensis" "Phyllotis_caprinus" "Phyllotis_darwini" "Phyllotis_definitus" "Phyllotis_gerbillus" "Phyllotis_haggardi" "Phyllotis_limatus" "Phyllotis_magister" "Phyllotis_osgoodi" "Phyllotis_osilae" "Phyllotis_xanthopygus" "Podoxymys_roraimae" "Pseudoryzomys_simplex" "Punomys_kofordi" "Punomys_lemminus" "Reithrodon_auritus" "Reithrodon_typicus" "Rhagomys_longilingua" "Rhagomys_rufescens" "Rhagomys_sp" "Rhipidomys_austrinus" "Rhipidomys_cariri" "Rhipidomys_caucensis" "Rhipidomys_couesi" "Rhipidomys_emiliae" "Rhipidomys_fulviventer" "Rhipidomys_gardneri" "Rhipidomys_ipukensis" "Rhipidomys_itoan" "Rhipidomys_latimanus" "Rhipidomys_leucodactylus" "Rhipidomys_macconnelli" "Rhipidomys_macrurus" "Rhipidomys_mastacalis" "Rhipidomys_modicus" "Rhipidomys_nitela" "Rhipidomys_ochrogaster" "Rhipidomys_similis" "Rhipidomys_tenuicauda" "Rhipidomys_tribei" "Rhipidomys_venezuelae" "Rhipidomys_venustus" "Rhipidomys_wetzeli" "Salinomys_delicatus" "Scapteromys_aquaticus" "Scapteromys_tumidus" "Scolomys_melanops" "Scolomys_ucaylensis" "Sigmodon_alstoni" "Sigmodon_hirsutus" "Sigmodon_inopinatus" "Sigmodon_peruanus" "Sigmodontomys_alfari" "Sooretamys_angouya" "Tanyuromys_aphrastus" "Tapecomys_primus" "Tapecomys_wolffsohni" "Thalpomys_cerradensis" "Thalpomys_lasiotis" "Thaptomys_nigrita" "Thomasomys_andersoni" "Thomasomys_apeco" "Thomasomys_aureus" "Thomasomys_auricularis" "Thomasomys_australis" "Thomasomys_baeops" "Thomasomys_bombycinus" "Thomasomys_caudivarius" "Thomasomys_cinereiventer" "Thomasomys_cinereus" "Thomasomys_cinnameus" "Thomasomys_contradictus" "Thomasomys_daphne" "Thomasomys_dispar" "Thomasomys_eleusis" "Thomasomys_emeritus" "Thomasomys_erro" "Thomasomys_fumeus" "Thomasomys_gracilis" "Thomasomys_hudsoni" "Thomasomys_hylophilus" "Thomasomys_incanus" "Thomasomys_ischyrus" "Thomasomys_kalinowskii" "Thomasomys_ladewi" "Thomasomys_laniger" "Thomasomys_macrotis" "Thomasomys_monochromos" "Thomasomys_nicefori" "Thomasomys_niveipes" "Thomasomys_notatus" "Thomasomys_onkiro" "Thomasomys_oreas" "Thomasomys_paramorum" "Thomasomys_popayanus" "Thomasomys_praetor" "Thomasomys_princeps" "Thomasomys_pyrrhonotus" "Thomasomys_rosalinda" "Thomasomys_silvestris" "Thomasomys_taczanowskii" "Thomasomys_ucucha" "Thomasomys_vestitus" "Thomasomys_vulcani" "Transandinomys_bolivaris" "Transandinomys_talamancae" "Wiedomys_cerradensis" "Wiedomys_pyrrhorhinos" "Wilfredomys_oenax" "Zygodontomys_brevicauda" "Zygodontomys_brunneus"
"site1500" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"site1501" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"site1502" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"site1503" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"site1504" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"site1505" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"site1506" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"site1507" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"site1508" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"site1509" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"site1510" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
